unique_input_record_identifier	input_title	lookup_key	input_writers	input_performers		database_song_title	database_song_writers
5I6d1gfpbEkJTewRNynxnQ	Onde o Nordeste Garoa	ONDEONORDESTEGAROA	Onildo Almeida	Luiz Gonzaga	0030085886	ONDE O NORDESTE GAROA	ONILDO ALMEIDA ONILDO ALMEIDA
5wvV1kJoSILDqdOTSFmoKA	Moon Dust	MOONDUST	Ilya Lipkin	The Re-Stoned	0055266625	MOON DUST	ILYA LIPKIN
4Tzh40NrdibXC2Nb0gZ9Wl	Jackie	JACKIE	Gerard Jouannest,Jacques Brel,Mort Shuman	Scott Walker	0002182094	JACKIE (ENGLISH VERSION)	JOUANNEST G/BREL J/SHUMAN M
1TSFiM4D3tyx6L7GD3c6Ph	Early Morning	EARLYMORNIN	TreeHouse 707	TreeHouse 707	0053660431	EARLY MORNING	TREEHOUSE 707
41v7FqRpYIwdr65IGoQRbH	Beni Benimle BÃÂ±rak	BENIBENIMLEBIRAK	Ibrahim Ferman Akgul,YaÃÂmur SarÃÂ±gÃÂ¼l	ÃÂmit Besen	0041007793	BENI BENIMLE BIRAK	YAGMUR SARIGUL
2DuLCNjIszZ3g5B4XE8ONy	Surround Me with Your Love	SUROUNDMEWITHYOURLOVE	Per A. Bertheussen,Per Martinsen,Svein Hansen	Blank & Jones	0035827792	SURROUND ME WITH YOUR LOVE (MENTAL OVERDRIVE REMIX)	MARTINSEN P/BERTHEUSSEN P/HANSEN S
0MkayFomiiea3ngp05amTn	Vizine (Freestyle)	VIZINE	Bousmara Division NÃÂ°1	Bousmara Division NÃÂ°1	0054653099	VIZINE (FREESTYLE)	BOUSMARA DIVISION NO1
02fenXEY9TV3lKW33j5ipA	School's Out	SCHOOLSOUT	A.Cooper,D.Dunaway,G.Buxton,M.Bruce,N.Smith	Buttmunch and The Great Cornholio	0007526722	SCHOOL'S OUT	COOPER/BRUCE/SMITH/BUXTON/DUNAWAY
0S7kfXOe4pbR1Wrkby1hGz	Malacoda	MALACODA	Caspian	Caspian	0054376852	MALACODA	CASPIAN
78xYQbFUcYComSOzBpo3WT	Bimbo Satellite	BIMBOSATELITE	Chris Joss	Chris Joss	0045818029	BIMBO SATELLITE	CHRIS JOSS
7FvJQy0fu6b8nEWwcgcHT3	Old Norwegian Romance, Op. 51: I. Poco tranquillo	OLDNORWEGIANROMANCEOP51IP	Edvard Grieg	Edvard Grieg,Philharmonia Orchestra	0049051984	OLD NORWEGIAN ROMANCE, OP. 51: I. POCO TRANQUILLO	EDVARD GRIEG
7zvElHJqPZY4CGc3tprlwR	Fish And Mice	FISH&MICE	Holly Throsby	Holly Throsby	0040209907	FISH AND MICE	THROSBY HOLLY SARAH
5WWcjsrfnJI43r1ZJbpxqO	The Motorcade	MOTORCADE	Jerry Goldsmith	Jerry Goldsmith	0016401337	MOTORCADE	GOLDSMITH JERRY
4hkdtl3xpE5MGJajzRgiZA	Toccata II	TOCATAII	Rolf Lislevand,Traditional	Rolf Lislevand Ensemble	0047040035	TOCCATA II	ROLF LISLEVAND
08pZ47A3mehqQZ5htXkak7	Heavy Love (ASOT 818)	HEAVYLOVE	A. Rata,I. James,K. Sones,M. Vangeli	Andrew Rayel,Max Vangeli	0051940352	HEAVY LOVE	MAX V/RATA A/SONES K
3R4XTOBeXtSbcZ5ujSHmam	Give Me The Roses	GIVEMEROSE	A. P. Carter	Carlene Carter	0004358544	GIVE ME ROSES WHILE I LIVE	CARTER ALVIN PLEASANT
5FIfrMB4XPezXNt1zobOwk	I Believe In (feat. Beta Bow)	IBELIEVEIN	Taelor Deitcher	Felix Cartal	0040861111	I BELIEVE IN (FEAT. BETA BOW)	DEITCHER T/GUENTHER/DONNELLY H
1guyHT1SrCFHwfdCvZ8J2x	Introduction: Nothingness	INTRODUCTIONNOTHINGNES	Hayden Calnin	Hayden Calnin	0049164855	INTRODUCTION; NOTHINGNESS	CALNIN HAYDEN RICHARD
0kRHPaomykhU8eKJjoTBfO	Red River	REDRIVER	Guy Fixsen,Margaret Fiedler	Laika	0009439785	RED RIVER	FIXSEN G/FIELDER M
5042gESl3wqaQVAdHglwVz	Taking A Chance On Love	TAKINCHANCEONLOVE	John LaTouche,Ted Fetter,Vernon Duke	Matt Monro	0038632382	TAKING A CHANCE ON LOVE	JOHN LATOUCHE/VERNON DUKE
7t3lzveOldcMW2OkM9756N	Selfie	SELFIE	Babbu Maan	Babbu Maan	0049106119	SELFIE	/BABBU MAAN/MAAN TEJINDER SINGH
55ohhJLbz4BTwZ6GzfdbMe	If I Needed You	IFINEEDEDYOU	Townes Van Zandt	Don Williams,Emmylou Harris	0002427567	IF I NEEDED YOU	VAN ZANDT TOWNES JOHN
5jJYJthaXUdkHKmiS6TuXe	Distance (feat. Joey Bada$$, Issa Gold & Erick The Architect)	DISTANCE	Erick Elliott,Jo-Vaughn Virginie,Marlon Fung,Powers Pleasant	Beast Coast,Flatbush Zombies,Joey Bada$$	0055925464	DISTANCE	JO VAUGHN VIRGINIE/JO VAUGHN VIRGINIE/MA
06lGG2WrxIGUoMMQbR3O4Z	Nostradamus	NOSTRADAMU	Michael Ehninger,Thomas Spitzer	EAV	0040993998	NOSTRADAMUS	THOMAS SPITZER
6Yy8nhChB5RxOHftjstcKG	Pashunfruit	PASHUNFRUIT	Gustaf Isaacson	Guustavv	0054655105	PASHUNFRUIT	GUSTAF ISAACSON
23RXgB6zTuxiW1GheO5b6t	Suite No. 2 in F Major: Prelude - Allemande - Courante - Bourree - Sarabande - Menuet I & II - Gigue	SUITENO2INFMAJORPRELUDEAL	Silvius Leopold Weiss	Jakob Lindberg	0045461066	SUITE NO. 2 IN F MAJOR: PRELUDE - ALLEMANDE - COURANTE - BOU	SILVIUS LEOPOLD WEISS
5MGCxdfa80nbBGcqqQWygx	Under the Bridge	UNDERBRIDGE	Anthony Kiedis,Balzary,Chad Smith,Frusciante,John Frusciante,Keidis,Keidis Balzary,King,McNair,Michael Balzary,Smith	All Saints	0004396102	UNDER THE BRIDGE	BALZARY M/FRUSCIANTE J/KIEDIS A/SMITH C
1LmkXSQbofMD4JEYqsmZcL	Silence	SILENCE	Michael Geoffrey Underwood	Moral Dilemma	0055899184	SILENCE	UNDERWOOD MICHAEL GEOFFREY
7xLJpKCqPI1LRStBlvmsup	Tommy Bahama	TOMYBAHAMA	Myles Parrish	Myles Parrish	0053295743	TOMMY BAHAMA	DESKIN D/BLYTHE D/EGAN W/PARRISH M
6VFmgcvCbfgoS63SfrBlgg	You Did It, You Did It	YOUDIDITYOUDIDIT	Rahsaan Roland Kirk	Rahsaan Roland Kirk,Roland Kirk Quartet	0002086696	YOU DID IT YOU DID IT	KIRK ROLAND
5ZTgFaoPKdJZa7EvAXXYcy	Melkweg Bass	MELKWEGBAS	Liam Mclean	Joker	0053886355	MELKWEG BASS	LIAM MCLEAN
2fCJg4P5QlKNecepq5zo22	S'posin'	SPOSIN	Paul Denniker	Nelson Riddle	0000658829	SPOSIN'	DENNIKER P/RAZAF A
4GMAyVjTpL9vgKd7aZJkSd	Indigo	INDIGO	Plusma	Plusma	0052818016	INDIGO	PLUSMA
5dOuPV9NHt5uWqxvhVbA0n	Bald Butte	BALDBUTE	Colter Wall	Colter Wall	0052108675	BALD BUTTE	WALL COLTER BRADLEY
1tpcdO2cqYuY0EsqvxZazE	La Violetera	VIOLETERA	Eduardo Montesinos,Jose Padilla Sanchez	Dalida	0001460588	VIOLETERA (ORIGINAL VERSION)	PADILLA-SANCHEZ J/MONTESINOS L
0BaUwLv2lSBwIwGTzjgIXR	Frank	FRANK	Chris Matthews	Headless Chickens	0002767975	FRANK	MATTHEWS CHRISTOPHER STEPHEN
2WyUzDQjzQfPMz1EGsjLw2	Operation New Me	OPERATIONNEWME	Chris McKay,Jamil Kazmi,Jared Gutstadt,Jeff Peters,Taka Moriuchi	Jingle Punks	0053072633	OPERATION NEW ME	MORIUCHI/JAMIL/MCKAY/GUTSTADT/PETERS
00qSzFGT8c6Om96MRK3uSt	Mama Raised Me	MAMARAISEDME	Calvin Broadus,Daryl Anderson,Percy Miller,Soulja Slim	Master P	0019457963	MAMA RAISED ME	BROADUS C/ANDERSON D/MILLER P/TAPP J
745RHtUOB8KIetZUqQ4zEZ	Leave a Light On (feat. Tom Walker)	LEAVELIGHTON	Steve Mac,Tom Walker	Red Hot Chilli Pipers	0051264669	LEAVE A LIGHT ON	MCCUTCHEON S/WALKER T
2dAiHAa3buEDWlj0uyBDBc	Donalina	DONALINA	Aviv Cohen	Sol Monk	0049026102	DONALINA	AVIV COHEN
5faqpitzDhJKv3huL8nJhp	Wetin We Gain	WETINWEGAIN	Victor AD	Victor AD	0054575604	WETIN WE GAIN	VICTOR AD
5pJ4txCueCm3vSLHp2tx3A	What You Do	WHATYOUDO	Michael Brigante	Attonbitus	0051793060	WHAT YOU DO	BRIGANTE MICHAEL GINO
4OEpeTynFu4UgdkspM3WzC	Oboe Concerto in C Minor: Adagio	OBOECONCERTOINCMINORADAGI	Georg Philipp Telemann	Sarah Francis	0047895577	OBOE CONCERTO IN C MINOR: ADAGIO	GEORG PHILIP TELEMANN
0XD8PIk6ZPrvuOZI8kZON0	Some Fun Now	SOMEFUNNOW	Alan Menken,Howard Ashman	Michelle Weeks,Tichina Arnold,Tisha Campbell	0001698377	SOME FUN NOW	ASHMAN H/MENKEN A
5QlmJpzQ2SyTP54loicFyQ	Three Four	THREEFOUR	Ben Cullum,Karl Clive Gordon,Shaznay Lewis	All Saints	0053765557	THREE FOUR	LEWIS S/GORDON K
2XRyW3Kbd7ln1b78CJ0U5u	Offering	OFERIN	Ara Dinkjian	Ara Dinkjian	0028264872	OFFERING	DINKJIAN ARA G
5NSxCIccne0LGgtEw5egrr	Crazy Beat	CRAZYBEAT	Fallin,Rhodes	Gene Vincent	0035407705	CRAZY BEAT	RHODES J/FALLIN J
